question,option1,option2,option3,option4,correctOption
What is the output of `typeof null` in JavaScript?,object,null,undefined,number,1
Which keyword is used to declare a constant in JavaScript?,let,const,var,constant,2
What is the output of `2 + '2'`?,4,22,NaN,undefined,2
Which of the following is not a JavaScript data type?,Number,String,Boolean,Float,4
Which method is used to convert JSON to a JavaScript object?,JSON.parse(),JSON.stringify(),JSON.objectify(),JSON.convert(),1
What is the output of `typeof null` in JavaScript?,object,null,undefined,number,1
Which keyword is used to declare a constant in JavaScript?,let,const,var,constant,2
What is the output of `2 + '2'`?,4,22,NaN,undefined,2
Which of the following is not a JavaScript data type?,Number,String,Boolean,Float,4
Which method is used to convert JSON to a JavaScript object?,JSON.parse(),JSON.stringify(),JSON.objectify(),JSON.convert(),1
What is the output of `typeof null` in JavaScript?,object,null,undefined,number,1
Which keyword is used to declare a constant in JavaScript?,let,const,var,constant,2
What is the output of `2 + '2'`?,4,22,NaN,undefined,2
Which of the following is not a JavaScript data type?,Number,String,Boolean,Float,4
Which method is used to convert JSON to a JavaScript object?,JSON.parse(),JSON.stringify(),JSON.objectify(),JSON.convert(),1
What is the output of `typeof null` in JavaScript?,object,null,undefined,number,1
Which keyword is used to declare a constant in JavaScript?,let,const,var,constant,2
What is the output of `2 + '2'`?,4,22,NaN,undefined,2
Which of the following is not a JavaScript data type?,Number,String,Boolean,Float,4
Which method is used to convert JSON to a JavaScript object?,JSON.parse(),JSON.stringify(),JSON.objectify(),JSON.convert(),1
What is the output of `typeof null` in JavaScript?,object,null,undefined,number,1
Which keyword is used to declare a constant in JavaScript?,let,const,var,constant,2
What is the output of `2 + '2'`?,4,22,NaN,undefined,2
Which of the following is not a JavaScript data type?,Number,String,Boolean,Float,4
Which method is used to convert JSON to a JavaScript object?,JSON.parse(),JSON.stringify(),JSON.objectify(),JSON.convert(),1
What is the output of `typeof null` in JavaScript?,object,null,undefined,number,1
Which keyword is used to declare a constant in JavaScript?,let,const,var,constant,2
What is the output of `2 + '2'`?,4,22,NaN,undefined,2
Which of the following is not a JavaScript data type?,Number,String,Boolean,Float,4
Which method is used to convert JSON to a JavaScript object?,JSON.parse(),JSON.stringify(),JSON.objectify(),JSON.convert(),1
What is the output of `typeof null` in JavaScript?,object,null,undefined,number,1
Which keyword is used to declare a constant in JavaScript?,let,const,var,constant,2
What is the output of `2 + '2'`?,4,22,NaN,undefined,2
Which of the following is not a JavaScript data type?,Number,String,Boolean,Float,4
Which method is used to convert JSON to a JavaScript object?,JSON.parse(),JSON.stringify(),JSON.objectify(),JSON.convert(),1
What is the output of `typeof null` in JavaScript?,object,null,undefined,number,1
Which keyword is used to declare a constant in JavaScript?,let,const,var,constant,2
What is the output of `2 + '2'`?,4,22,NaN,undefined,2
Which of the following is not a JavaScript data type?,Number,String,Boolean,Float,4
Which method is used to convert JSON to a JavaScript object?,JSON.parse(),JSON.stringify(),JSON.objectify(),JSON.convert(),1
